loc,title,comp,services_notice,job_type,email,link,recruiter_notice,date_created,data_updated,id,job_desc
 (santa rosa),Veterinary Technicians (santa rosa),Very competitive. Dependent on experience,do NOT contact us with unsolicited services or offers,employee's choice,,http://sfbay.craigslist.org//nby/hea/5268106383.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 2:17pm,2015-10-14 2:17pm,post id: 5268106383,"
Do you wish for an exciting change of pace? Want to work in a fast paced yet family type atmosphere? PetCare Veterinary Hospital in Santa Rosa is looking for full time experienced RVT's and skilled technicians for our hospital. Leadership experience especially welcome!

We're growing fast and need nurses who enjoy any or all of the following: caring for critical patients in our ICU, participating in a variety of procedures and surgeries, helping educate clients about wellness care, working alongside oncologists, internists, surgeons and gp's. Yep PetCare does all of that! We have a both evening and daytime shifts available. 

We are a privately owned Specialty, Emergency and General Practice with two locations. We hire people with flexibility, great attitudes, a desire to work in a busy, large practice and who have excellent nursing skills. PetCare prides itself on giving technicians the exposure to complex medical/surgical cases and the ability to use their skills. Our benefits package includes, vacation and holiday pay, generous weekend and evening stipend, medical, 401k, continuing education, generous pet benefit plan, bonus opportunities and more. Generous sign-on bonus!
Only candidates with a minimum of 2 years experience as a vet tech/nurse will be considered. Please do not apply if you do not meet these qualifications. Candidates are REQUIRED to work at least one weekend day every week. Please send resume and cover letter to Ben at hubert49@sonic.net . Check us out at pcvh.com to learn more about us!
"
 (sebastopol),RDA Extraordinaire (sebastopol),DOE,do NOT contact us with unsolicited services or offers,full-time,mcx7h-5268081476@job.craigslist.org,http://sfbay.craigslist.org//nby/hea/5268081476.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 2:02pm,2015-10-14 2:02pm,post id: 5268081476,"
Our great Sebastopol family dental office is looking to expand our team with the addition of a dynamic RDA. We are busy, and need another set of skilled hands to help us keep up. We work 4 to 4 ½ days a week, no weekends. We do general dentistry, some amazing cosmetics, only composite fillings, inlay and onlay work, the usual crown and bridge, and the occasional surgery. Our Dr. is a Board Certified Naturopath. With modern science proving the connection between dentistry and overall health, we see dentistry as integral to the good health and well-being of all of our patients. This is a huge opportunity to expand more than just your dental knowledge, and we are willing to train the right person in this area. 
We are looking for a self-motivated, hardworking, flexible and pleasant RDA (minimum 3 years) with great dental and communication skills. A contagious smile, good sense of humor, and keen and open mind are all valued in our practice. If you are interested in joining our team, we invite you to apply by sending your resume and a cover letter to the e-mail address listed above.
"
 (concord / pleasant hill / martinez),Hospital in need of CNAs! (concord / pleasant hill / martinez),DOE,do NOT contact us with unsolicited services or offers,full-time,sjpsq-5268109581@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5268109581.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 2:19pm,2015-10-14 2:23pm,post id: 5268109581,"
MGA Healthcare is looking to hire several CNA's for the Hospitals in San Francisco and in the East Bay. Part time and full time work available for all shifts! Great way to get your foot in the door at a prestigious facility. 

*Make your own schedule*
*Gain Hospital experience*
*Potential to get hired on directly*
*Competitive starting pay*
*Positions for New Grads available*

Requirements:
-CNA license
-CPR card from American Heart Association
-Previous facility experience
-Great attitude
-Reliable transportation

We are looking for people as quickly as possible! Call today, start working by the weekend! If you are interested please respond to this ad with a copy of your resume or call the number on this ad and ask for Pedro at 415-421-8500. Only qualified candidates will be considered for this position. Thank you!
"
 (cupertino),RDA/DA Needed for Pediatric/Ortho office (cupertino),for qualified applicants,do NOT contact us with unsolicited services or offers,employee's choice,pnmdg-5268129017@job.craigslist.org,http://sfbay.craigslist.org//sby/hea/5268129017.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 2:30pm,2015-10-14 2:30pm,post id: 5268129017,"
We are looking for a Fulltime/Parttime dental assistant in our Cupertino Office
-Minimum of one year experience 
-Current x-ray license
-Willing to work with children of all ages with a friendly manner 
-Must have excellent comminication skills
-Willing to learn, is responsible, fun to work with
"
 (hayward / castro valley),Wanted CNAs for Skilled Nursing Facility (hayward / castro valley),Depends on experience,do NOT contact us with unsolicited services or offers,full-time,redwood.2008@yahoo.com,http://sfbay.craigslist.org//eby/hea/5267689093.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 10:31am,2015-10-14 10:32am,post id: 5267689093,"
We are looking for CNAs to work as part of our team in our Skilled Nursing Facility in Castro Valley, CA. If you are interested:

Requirements:

Must be Certified CNAs in good standing with the State. Must maintain a current certification in the state throughout employment.
Must achieve 12 hours of in service education annually as required by federal regulations (as well as meet state requirements, if exceeds federal).
Must have ability to read, write and follow oral and written directions at a level necessary to accomplish the job.
Must be able to relate positively and favorably to residents and families and to work cooperatively with co-workers and supervisors.
Must be willing to assist others, including co-workers.
Must maintain regular attendance.
Must meet all local health regulations, pass post-employment physical exam if required. This requirement also includes drug screening, criminal background investigation and reference inquiry.
New graduates are welcome to apply.

The qualified candidates will need to submit the following documents by fax or email:
1. Updated Resume W/Current Contact Info, Month/Year and Phone Number of Supervisors for each work experience.
2. Three References needed (Two Professional, One Personal)
3. Clear and Legible Copy Applicable Medical License or Certificate
4. Clear and Legible Copy of CPR (Front and Back - Must be American Heart Association or American Red Cross)
5. TB test within 30 Days If Accepted By Facility.

New graduates are welcome to apply.

Please fax or email your resume to : redwood.2008@yahoo.com Fax: (510) 537-3830.
"
 (concord / pleasant hill / martinez),Foster Family Agency Support Counselor (concord / pleasant hill / martinez),Rate $12.00-$14.00 per hour (Starting Rate TBD),do NOT contact us with unsolicited services or offers,part-time,rfsfc-5267707723@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5267707723.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 10:41am,2015-10-14 10:41am,post id: 5267707723,"
Foster Family Agency looking for a Support Counselor (Contra Costa & Solano County)

We are looking for Support Counselors who are strengths-based, positive, and will support Foster Parents with the children in their care.

Support Counselors work with ITFC (Intensive Treatment Foster Care) youth and their foster families. Tasks include supervising bio family visits, mentoring ITFC youth, providing support to the foster family, etc.

Requirements for the Support Counselor position are:

- A bachelor's degree in Social Science and at least six months of experience working with emotionally disturbed children in institutional settings
or
- An associate's degree in a social science related field and have at least one year's experience in working with emotionally disturbed children in institutional settings.

-Applicants must be able to work independently, have good communication skills, and good interpersonal skills.

We currently have need for two P/T Support Counselors.

Interested applicants should send their cover letter and resume in response to this advertisement.
"
" (hercules, pinole, san pablo, el sob)","Weekend Receptionist (hercules, pinole, san pablo, el sob)",DOE,do NOT contact us with unsolicited services or offers,part-time,ndnqj-5266522305@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5266522305.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 2:45pm,2015-10-13 2:45pm,post id: 5266522305,"
We are accepting applications for part time weekend Receptionist. Busy Skilled Nursing Facility is seeking detail oriented individual. A great part time position for a reliable professional. If you are phone savvy, and have a great public report, and enjoy helping others, then this is for you. Use your great phone voice, and customer service skills and join our team. Salary $10.00hr to start. Please submit resumes to San Pablo Healthcare & Wellness Center. Contact Dianna Admissions Director. FAX 5102376481
"
 (west portal / forest hill),Veterinary Hospital Openings (west portal / forest hill),Competitive,do NOT contact us with unsolicited services or offers,employee's choice,2kkkf-5266522697@job.craigslist.org,http://sfbay.craigslist.org//sfc/hea/5266522697.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 2:45pm,2015-10-13 2:46pm,post id: 5266522697,"
Hi there! 

Healthy Pets Veterinary Hospital is a full-service pet care facility located in San Francisco's West Portal community. Our doctors practice holistic modalities integrated with a complete range of medical, surgical, and dental services. 

We are seeking enthusiastic and personable Front Office Personnel and seasoned Veterinary Technicians.

Full-time and Part-Time shifts are available and a few Saturdays a month are required.

Healthy Pets offers 100% employer paid medical benefits to full-time employees as well as, dental, vision, 401K, paid vacation time, flexible schedule options, life insurance plans, and tuition reimbursement. Plus, frequent home-made and catered complimentary lunches! 

Please send your resume to the above-address if you're interested in being a part of our fun and dynamic team. 

Visit our Website:  for more information about the hospital and our family.




"
 (fremont / union city / newark),DENTAL OFFICE TREATMENT COORDINATOR WANTED (fremont / union city / newark),$21.00/hr to start and opportunities to move up!,do NOT contact us with unsolicited services or offers,full-time,xppkv-5266533191@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5266533191.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 2:52pm,2015-10-13 2:52pm,post id: 5266533191,"
Our busy Fremont area dental practice is filling the position of Treatment Coordinator. We are looking for an experienced dental Treatment Coordinator, who is organized, self-motivated and is definitely a people-person!

Job duties include establishing financial arrangements with patients, good working knowledge of various insurances and ability to help the patients get started with the treatment they need.

$21.00/hr to start and opportunities to move up!

To apply, please go to www.OnlineJobAp.com and enter code 555.
"
 (redwood city),Physical Therapist-part time or full time (redwood city),DOE,do NOT contact us with unsolicited services or offers,employee's choice,mj5bw-5266557026@job.craigslist.org,http://sfbay.craigslist.org//pen/hea/5266557026.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:07pm,2015-10-13 3:07pm,post id: 5266557026,"
Full Time or Part Time
Redwood City, CA 
Job # PTredCA042714 

This is a great opportunity for a full time PT to provide home health and outpatient services to our residents in our community in Redwood City. Come join our dynamic team! 

A career with Brookdale has never been more rewarding! Brookdale is the only national full-spectrum senior living solutions company and committed to providing the best options for our over 110,000 residents we serve. The services that we offer ensure residents continue to live the lives that they want while also meeting all of their needs along the way. Every day our associates collaborate to guarantee this promise is fulfilled in more than 1,150 communities in 47 states. Our Senior Living Solutions include: Independent Living, Assisted Living, Memory Care, Skilled Nursing, Continuing Care Retirement, Therapy, Hospice, Home Health, and Personalized Living. 

More than a company, it is a calling. 

Key responsibilities include: 
* Provides and directs Physical Therapy services to patients including: assessment, treatment, program planning and implementation 
* Functions under physicians' orders and adheres to applicable principles and practices of physical therapy, Brookdale policies/procedures, and state regulations 
* Conducts screenings of patients at regular intervals to determine need for intervention and treatment 
* Coordinates treatment plan with patient, family and other team members 
* Develops appropriate home or community programming to maintain and enhance the performance of the patient in his/her own environment 


We seek the following principal qualifications: 
* Bachelor of Science in Physical Therapy from an accredited program 
* Completion of the National Certification Examination for Registered Physical Therapist 
* Physical Therapy license within the state 
* 1 year of PT experience or the equivalent 
* Ability to work varying hours, including weekends and holidays 

Please visit www.brookdalecareers.com to apply for this position. 

If you are a Brookdale Associate, please consider referring someone through the Good People Program! 

Brookdale is an EOE-(Equal Opportunity Employer) and drug free work place.

At Brookdale, you will enjoy a rewarding career with a forward thinking company while receiving an impressive portfolio of benefits designed to help you maintain a comfortable lifestyle for you and your family, including • Major Medical • Dental• Vision• Flexible Spending Account • Short-term Disability • Long-term Disability • 401(K) with Company Match • Life Insurance • Tuition Reimbursement • Paid Vacation & Holidays • Continuing Education • License Reimbursement
"
 (santa rosa),RN for Home Health Care Agency (santa rosa),DOE,do NOT contact us with unsolicited services or offers,part-time,hhc_incorp@sbcglobal.net,http://sfbay.craigslist.org//nby/hea/5266560701.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:09pm,2015-10-13 3:09pm,post id: 5266560701,"
Home Health Care, Inc., a locally owned State licensed health care agency is hiring RNs. We serve the Sonoma County area.
Duties include case management and skilled nursing on a per diem part-time basis. Must have reliable transportation, be able to work weekends and have prior home care experience. The successful candidate must be comfortable working in a Team environment.
You may obtain an application as follows:
1) On our website  then Click the link in the CAREERS column.
2) In person at: Home Health Care Inc., 4983 Sonoma Hwy, Suite E., Santa Rosa CA 95409
3) Call to request an application be mailed to you.

Resumes may be faxed to 707.537.6752 or emailed to hhc_incorp@sbcglobal.net 

"
 (dublin / pleasanton / livermore),Nurse or Nurse Practitioner (dublin / pleasanton / livermore),DOE,do NOT contact us with unsolicited services or offers,employee's choice,hk7tz-5266560685@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5266560685.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:09pm,2015-10-13 3:09pm,post id: 5266560685,"
Award-winning well-established medical spa in beautiful downtown Pleasanton has an opening for an energetic, motivated, outgoing nurse or nurse practitioner provider who has experience with injectables and lasers. There is a great opportunity to have and established practice as well as build your own practice.

We are considering part time and also full-time positions. Come join our team and be a valuable member of a well-established practice. 

We look forward to receiving your resume!
"
 (fairfield / vacaville),Dental Assistant (fairfield / vacaville),Based on experience.,do NOT contact us with unsolicited services or offers,full-time,6ttkr-5266562188@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5266562188.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:10pm,2015-10-13 3:10pm,post id: 5266562188,"
Seeking a dental assistant with experience to become part of a great team for our general practice. Full time position with benefits. Please email your resume or you may fax it to 707-427-19513
"
 (danville / san ramon),Occupational Therapist-full-time or part-time (danville / san ramon),DOE,do NOT contact us with unsolicited services or offers,employee's choice,rw8rt-5266563812@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5266563812.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:11pm,2015-10-13 3:11pm,post id: 5266563812,"
Full-Time or Part-Time Occupational Therapist Bay Area
Dublin, CA (San Ramon/San Pablo/Danville)
Job # OTTdubCA042906

This is a unique and exciting position for an OT to cover home health and outpatient services in our assisted living communities in San Ramon, Danville and San Pablo. This could be a full time or part time position, depending on your preferred location. Come join our dynamic team!

A career with Brookdale has never been more rewarding! Brookdale is the only national full-spectrum senior living solutions company and committed to providing the best options for our over 110,000 residents we serve. The services that we offer ensure residents continue to live the lives that they want while also meeting all of their needs along the way. Every day our associates collaborate to guarantee this promise is fulfilled in more than 1,150 communities in 47 states. Our Senior Living Solutions include: Independent Living, Assisted Living, Memory Care, Skilled Nursing, Continuing Care Retirement, Therapy, Hospice, Home Health, and Personalized Living.

More than a company, it is a calling.

Key responsibilities include:
* Provides and directs Occupational Therapy services to patients including: assessment, treatment, program planning, and implementation
* Functions under physicians' orders and adheres to applicable principles and practices of physical therapy, Brookdale policies/procedures, and state regulations
* Coordinates treatment plan with patient, family, and other team members
* Documents results of patient's assessment, treatment, follow-up, and termination of services
* Reviews the quality and appropriateness of the total services delivered and of individual occupational therapy programs for effectiveness and efficiency, using predetermined criteria

At Brookdale, you will enjoy a rewarding career with a forward thinking company while receiving an impressive portfolio of benefits designed to help you maintain a comfortable lifestyle for you and your family, including • Major Medical • Dental• Vision• Flexible Spending Account • Short-term Disability • Long-term Disability • 401(K) with Company Match • Life Insurance • Tuition Reimbursement • Paid Vacation & Holidays • Continuing Education • License Reimbursement
"
 (saratoga),Surgical Technologist (saratoga),based on experience,do NOT contact us with unsolicited services or offers,part-time,jkgq2-5266583377@job.craigslist.org,http://sfbay.craigslist.org//sby/hea/5266583377.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:24pm,2015-10-13 3:24pm,post id: 5266583377,"
A busy, expanding surgery center is seeking a professional, personable, and enthusiastic part time Surgical Technologist who is also capable of functioning in multiple roles when necessary. The ideal candidate is detail oriented, able to multi-task, self-motivated, and has a polished, professional appearance. Candidates with ASC experience will have priority over other candidates. 

Surgical Technologist duties will include:
*Operating Room Preparation
*Instrument Sterilization
*Assisting During Surgical Procedures
*Operating Room Turnover
*Proper Care and Use of Surgical Instruments 
*Adherence to AAAHC/Medicare Guidelines
*Maintenance of Current Physician Preference Cards
*Maintenance of OR Equipment
*Chart Preparation and Maintenance

PLEASE DO NOT REPLY TO THIS AD UNLESS:
•	YOU ARE A CERTIFIED SURGICAL TECHNOLOGIST WITH AT LEAST ONE YEAR OF WORK EXPERIENCE BEYOND YOUR EXTERNSHIP.
•	YOU HAVE CURRENT BLS CERTIFICATION.
•	YOU DESIRE PART TIME WORK.

If you feel you have the skills to fill this position and you meet the criteria above, we look forward to meeting you.
"
 (san jose west),Clinical Audiologist Needed for Long Term Contract (san jose west),dependent on experience,do NOT contact us with unsolicited services or offers,part-time,vrcsx-5266592343@job.craigslist.org,http://sfbay.craigslist.org//sby/hea/5266592343.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:30pm,2015-10-13 3:30pm,post id: 5266592343,"
We have an URGENT long term contract opening for a Clinical Audiologist at a premier hospital in the San Jose area. Candidate will provide patient care for 64 patients a day If you meet the below minimum requirements please submit your resume right away for immediate consideration. 

Required Experience: 
Minimum 1 year of related work experience.
Master's Degree in Clinical Audiology 
Valid Certificate of Clinical Audiology issued by the American Speech and Hearing Association

Knowledge of:
Procedures and methodology of auditory rehabilitation
Needs and Methods of referral
Audiological testing techniques. methods and apparatus
Operation and care of audiological equipment



"
 (San Rafael),Registered Veterinary Technician - Oncology (San Rafael),Great Compensation Depending on Experience,do NOT contact us with unsolicited services or offers,full-time,bhvmv-5266608019@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5266608019.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-13 3:40pm,2015-10-14 1:00pm,post id: 5266608019,"
The Pet Emergency and Specialty Center of Marin is a busy 24 hour hospital with specialties in Internal Medicine, Surgery, Oncology, Dermatology, Ophthalmology, and Emergency and Critical Care. We are centrally located in San Rafael and serve all of Marin and surrounding counties. 

We are currently looking for a full time RVT for our Oncology Department. Previous oncology experience, strong technical skills and compassionate client service is preferred. Since we are a busy 24/7 practice, some weekend, evening and holiday shifts should be expected.

PESCM is home to a great group of doctors and support staff who are dedicated to this field. Many of our staff members have been with us for nearly 10 years! We offer a very competitive benefits package that includes: health, dental, vision, 401K, uniform allowance, Paid Time Off, Continuing Education reimbursement, as well as personal pet and commuter benefits. 

If you're dedicated to the veterinary field, love to learn, and want to grow in a privately owned practice that fosters the support you need to be the best you can be -- please email your resume! We want to meet you!
"
